Products,,,,,,,,
,,,,,,,,
,Product ID,Description,Retail,Size,Supplier,Stock Count,Reorder Point,Reorder Qty
,CJ001-141-258CL,CJ Banana E 5X8mm clear,$25.00,14 1/2,Metal Mafia,6,0,0
,CJ002-BRTCZ1LCL,Tragus Cascading Ext leftside Clear,$25.00,16g 1/4,Metal Mafia,1,0,0
,CJ003-BRTCZ1RCL,Tragus Cascading Ext rightside Clear,$25.00,16g 1/4,Metal Mafia,1,0,0
,CJ004-BRTOP2RBL,Tragus Cascading Ext Opal Blue,$30.00,16g 1/4,Metal Mafia,0,0,0
,CJ005-BRTOP1RWH,Tragus Cascading Ext Opal White,$30.00,16g 1/4,Metal Mafia,0,0,0
,CJ006-BRTSPRW,Tragus Sparrow Ext,$25.00,16g 1/4,Metal Mafia,1,0,0
,CJ007-BNED141-258,Navel 5x8mm CL,$25.00,14g 1/2,Metal Mafia,4,0,0
,CJ008-BNED143-858,BNED 5x8mm CL,$25.00,14G 3/8,Metal Mafia,3,0,0
,CJ010-C141-25,Captive Bead Ring 5mm CL,$15.00,14g 1/2,Metal Mafia,4,0,0
,CJ011-C163-83,Captive Bead Ring 3mm CL,$15.00,16g 3/8,Metal Mafia,4,0,0
,CJ012-CVED163-83CL,Curved Barbell E CL,$15.00,16g 3/8,Metal Mafia,4,0,0
,CJ013-CVED165-163CL,Curved Barbell E CL,$15.00,16g 5/16,Metal Mafia,4,0,0
,CJ014-LBE143-84,Labret E 4mm CL,$15.00,14g 3/8 4,Metal Mafia,4,0,0
,CJ015-LBE163-83CL,Labret E 3mm CL,$15.00,16g 3/8 3,Metal Mafia,4,0,0
,CJ016-BKC143-84,Captive Bead Ring 4mm Black,$20.00,14g 3/8 4,Metal Mafia,4,0,0
,CJ017-BKC145-164,Captive Bead Ring 4mm Black,$20.00,14g 5/16 4,Metal Mafia,5,0,0
,CJ018-BKC145-85,Captive Bead Ring 5mm Black,$20.00,14g 5/8 5,Metal Mafia,5,0,0
,CJ019-BKC147-164,Captive Bead Ring 4mm Black,$20.00,14g 7/16 4,Metal Mafia,2,0,0
,CJ020-BCK163-83,Captive Bead Ring 3mm Black,$20.00,16g 3/8 3,Metal Mafia,5,0,0
,CJ021-BKC165-163,Captive Bead Ring 3mm Black,$20.00,16g 5/16,Metal Mafia,4,0,0
,CJ022-BKC183-83,Captive Bead Ring 3mm Black,$20.00,18g 3/8 3,Metal Mafia,4,0,0
,CJ023-BKC185-163,Captive Bead Ring 3mm Black,$20.00,18g 5/16,Metal Mafia,3,0,0
,CJ024-BKCVE141-24,Curved Barbell E 4mm Black,$20.00,14g 1/2 4,Metal Mafia,0,0,0
,CJ025-BKCVE143-84,Curved Barbell 4mm Black,$20.00,14g 3/8 4,Metal Mafia,2,0,0
,CJ026-BKCVE163-83,Curved Barbell E 3mm Black,$20.00,16g 3/8 3,Metal Mafia,4,0,0
,CJ027-BKHSE165-163,Horse Shoe E 3mm Black,$20.00,16g 5/16 3,Metal Mafia,1,0,0
,CJ028-CKLBE143-84,Labret E 4mm,$20.00,14g 3/8 4,Metal Mafia,2,0,0
,CJ029-BKLBE145-164,Labret E 4mm,$20.00,14g 5/16 4,Metal Mafia,1,0,0
,CJ030-BKLBE161-43,Labret E 3mm Black,$20.00,16g 1/4 3,Metal Mafia,1,0,0
,CJ031-BKLBE163-83,Labret E 3mm Black,$20.00,16g 3/8 3,Metal Mafia,2,0,0
,CJ0322-LBE165-163SP,Labret E 3mm SP,$15.00,16g 5/16,Metal Mafia,2,0,0
,CJ0323-LBE165-163LG,Labret E 3mm LG,$15.00,16g 5/16,Metal Mafia,2,0,0
,CJ0324-LBE165-163AB,Labret E 3mm AB,$15.00,16g 5/16,Metal Mafia,2,0,0
,CJ0325-LBE165-163PK,Labret E 3mm PK,$15.00,16g 5/16,Metal Mafia,2,0,0
,CJ0326-LBE165-163AQ,Labret E 3mm AQ,$15.00,16g 5/16,Metal Mafia,2,0,0
,CJ0327-LBE165-163BZ,Labret E 3mm BZ,$15.00,16g 5/16,Metal Mafia,2,0,0
,CJ0328-LBE165-163DG,Labret E 3mm DG,$15.00,16g 5/16,Metal Mafia,2,0,0
,CJ0329-LBE165-163TZ,Labret E 3mm TZ,$15.00,16g 5/16,Metal Mafia,2,0,0
,CJ032-BKLBE165-163,Labret E 3mm Black,$20.00,16g 5/16 3,Metal Mafia,1,0,0
,CJ0330-LBE165-163BK,Labret E 3mm BK,$15.00,16g 5/16,Metal Mafia,2,0,0
,CJ0331-LBE165-163CL,Labret E 3mm CL,$15.00,16g 5/16,Metal Mafia,4,0,0
,CJ0332-BKCVE165-163,Curved Barbell E Black,$20.00,15g 5/16,Metal Mafia,2,0,0
,CJ0333-SC3145-16S,Septum Clicker,$35.00,14 5/16,Metal Mafia,1,0,0
,CJ0334-ORG2095,14kt Gold Septum Jewelry 18g,$45.00,18 3/8,Painful Pleasures,1,0,0
,CJ0335-ORG2101,Gold Plated KWS4 Septum Jewelry,$45.00,18 3/8,Painful Pleasures,1,0,0
,CJ0336-ORG1650,Gold Plated Tribal Fan Septum Ring,$45.00,18 5/16,Painful Pleasures,0,0,0
,CJ0337-MN0091-DB,Navel EXT Orchid Dark Blue,$35.00,14 7/16,Painful Pleasures,1,0,0
,CJ0338-MN1146-CHARCO,Titanium Circular Barbell EXT Charcoal,$20.00,14 3/8 4,Painful Pleasures,1,0,0
,CJ0339-MN1146-GOLD,Titanium Circular Barbell EXT Gold,$20.00,14 3/8 4,Painful Pleasures,1,0,0
,CJ033-BKLBES143-8,Labret E 4mm cone,$20.00,14g 3/8 4,Metal Mafia,1,0,0
,CJ0340-MN1537-CL,Navel EXT Double Prong Clear,$30.00,14 7/16,Painful Pleasures,1,0,0
,CJ0341-MN1567-PURPLE,Navel EXT Flower Purple,$30.00,14 3/8,Painful Pleasures,1,0,0
,CJ0342-SNS121,Nostril Pin Gold Plated CZ,$25.00,18,Painful Pleasures,4,0,0
,CJ0343-UR411-10-CHAR,Circ. Barbell Tit. Charcoal,$20.00,18 3/8,Painful Pleasures,1,0,0
,CJ0344-UR411-10-GOLD,Circ. Barbell Tit. Gold,$20.00,18 3/8,Painful Pleasures,1,0,0
,CJ034-BKLBES165-16,Labret E 3mm Cone Black,$20.00,16g 5/16 3,Metal Mafia,1,0,0
,CJ035-BKNH185-16,Nose Hoop Black,$20.00,18g 5/16,Metal Mafia,6,0,0
,CJ036-BKSMR163-8,Seamless Ring Black,$20.00,16g 3/8,Metal Mafia,4,0,0
,CJ037-BKSMR165-16,Seamless Ring Black,$20.00,16g 5/16,Metal Mafia,6,0,0
